id,name,stream_url,logo_url,genre,country,language,is_active,type,source
tv_golden_premiere_2_hd,"Golden Premiere 2 HD",http://181.188.216.5:18000/play/a09k/index.m3u8,,General,International,es,true,tv,csv
tv_golden_premiere_hd,"Golden Premiere HD",http://181.188.216.5:18000/play/a09j/index.m3u8,,General,International,es,true,tv,csv
tv_hbo_pop_hd,"HBO POP HD",http://181.188.216.5:18000/play/a0im/index.m3u8,,Movies,International,es,true,tv,csv
tv_hbo_xtreme_hd,"HBO XTREME HD",http://181.188.216.5:18000/play/a0p1/index.m3u8,,Movies,International,es,true,tv,csv
tv_hei_hd,"HEI HD",http://181.188.216.5:18000/play/a0p3/index.m3u8,,General,International,es,true,tv,csv
tv_home_health_hd,"Home & Health HD",http://181.188.216.5:18000/play/a0d9/index.m3u8,,General,International,es,true,tv,csv
tv_mega_hd,"MEGA HD",http://181.188.216.5:18000/play/a003/index.m3u8,,General,Chile,es,true,tv,csv
tv_mtv_00s_hd,"MTV 00s HD",http://181.188.216.5:18000/play/a0dd/index.m3u8,,Music,International,es,true,tv,csv
tv_nat_geo_hd,"Nat Geo HD",http://181.188.216.5:18000/play/a0do/index.m3u8,,General,International,es,true,tv,csv
tv_nick_hd,"Nick HD",http://181.188.216.5:18000/play/a0iq/index.m3u8,,Kids,International,es,true,tv,csv
tv_nick_sim_hd,"Nick SIM HD",http://181.188.216.5:18000/play/a0d6/index.m3u8,,Kids,International,es,true,tv,csv
tv_pasiones_hd,"Pasiones HD",http://181.188.216.5:18000/play/a0dt/index.m3u8,,General,International,es,true,tv,csv
tv_playboy_hd,"Playboy HD",http://181.188.216.5:18000/play/a0o4/index.m3u8,,General,International,es,true,tv,csv
tv_rcn_hd,"RCN HD",http://181.188.216.5:18000/play/a0fc/index.m3u8,,General,Colombia,es,true,tv,csv
tv_star_channel_hd,"STAR CHANNEL HD",http://181.188.216.5:18000/play/a0ow/index.m3u8,,General,International,es,true,tv,csv
tv_sony_movies_hd,"Sony Movies HD",http://181.188.216.5:18000/play/a0d0/index.m3u8,,Movies,International,es,true,tv,csv
tv_star_tve_hd,"Star TVE HD",http://181.188.216.5:18000/play/a0d3/index.m3u8,,General,International,es,true,tv,csv
tv_stingray_concerts_hd,"Stingray Concerts HD",http://181.188.216.5:18000/play/a0j4/index.m3u8,,General,International,es,true,tv,csv
tv_sun_channel_hd,"Sun Channel HD",http://181.188.216.5:18000/play/a0p2/index.m3u8,,General,International,es,true,tv,csv
tv_tc_hd,"TC HD",http://181.188.216.5:18000/play/a0lv/index.m3u8,,General,International,es,true,tv,csv
tv_td2_hd_cr,"TD+2 HD CR",http://181.188.216.5:18000/play/a09f/index.m3u8,,General,International,es,true,tv,csv
tv_tdhd_cr,"TD+HD CR",http://181.188.216.5:18000/play/a09e/index.m3u8,,General,International,es,true,tv,csv
tv_teleamazonas_hd,"TELEAMAZONAS HD",http://181.188.216.5:18000/play/a0lw/index.m3u8,,General,International,es,true,tv,csv
tv_telesucesos_hd,"TELESUCESOS HD",http://181.188.216.5:18000/play/a0lx/index.m3u8,,General,International,es,true,tv,csv
tv_tnt_novelas_hd,"TNT Novelas HD",http://181.188.216.5:18000/play/a0oe/index.m3u8,,General,International,es,true,tv,csv
tv_tnt_sports_premiun_hd,"TNT Sports Premiun HD",http://181.188.216.5:18000/play/a0ik/index.m3u8,,Sports,International,es,true,tv,csv
tv_tvc_hd,"TVC HD",http://181.188.216.5:18000/play/a0ly/index.m3u8,,General,International,es,true,tv,csv
tv_tvn_hd,"TVN HD",http://181.188.216.5:18000/play/a0ih/index.m3u8,,General,International,es,true,tv,csv
tv_teen_nick_hd,"Teen Nick HD",http://181.188.216.5:18000/play/a0cq/index.m3u8,,Kids,International,es,true,tv,csv
tv_tigo_sports_hd,"Tigo Sports HD",http://181.188.216.5:18000/play/a0d5/index.m3u8,,Sports,International,es,true,tv,csv
tv_universal_cinema_este_hd,"UNIVERSAL CINEMA ESTE HD",http://181.188.216.5:18000/play/a0dw/index.m3u8,,Movies,International,es,true,tv,csv
tv_universal_comedy_hd,"UNIVERSAL COMEDY HD",http://181.188.216.5:18000/play/a0di/index.m3u8,,Comedy,International,es,true,tv,csv
tv_universal_crime_hd,"UNIVERSAL CRIME HD",http://181.188.216.5:18000/play/a0dh/index.m3u8,,General,International,es,true,tv,csv
tv_universal_premiere_hd,"UNIVERSAL PREMIERE HD",http://181.188.216.5:18000/play/a0de/index.m3u8,,General,International,es,true,tv,csv
tv_universal_premiere_o_hd,"UNIVERSAL PREMIERE O HD",http://181.188.216.5:18000/play/a0df/index.m3u8,,General,International,es,true,tv,csv
tv_universal_reality_hd,"UNIVERSAL REALITY HD",http://181.188.216.5:18000/play/a0dg/index.m3u8,,General,International,es,true,tv,csv
tv_univision_hd,"Univision HD",http://181.188.216.5:18000/play/a0du/index.m3u8,,General,International,es,true,tv,csv
tv_warner_channel_hd,"Warner Channel HD",http://181.188.216.5:18000/play/a0op/index.m3u8,,General,International,es,true,tv,csv
